"","Zip.Code","Location","City","Population","People.Sq.Mile"
"1",60626,"42.009340, -87.669902","Chicago, Illinois","59,251","34,520.21"
"2",60660,"41.990561, -87.664706","Chicago, Illinois","47,726","34,193.05"
"3",60640,"41.972347, -87.663982","Chicago, Illinois","74,030","32,103.29"
"4",60657,"41.938964, -87.656811","Chicago, Illinois","66,789","31,204.02"
"5",60610,"41.900034, -87.636967","Chicago, Illinois","47,513","30,110.68"
"6",60613,"41.958302, -87.660698","Chicago, Illinois","50,548","25,857.54"
"7",60647,"41.921117, -87.701899","Chicago, Illinois","98,769","25,372.11"
"8",60625,"41.973081, -87.699751","Chicago, Illinois","91,351","23,681.91"
"9",60614,"41.922667, -87.652537","Chicago, Illinois","65,474","20,838.01"
"10",60651,"41.902029, -87.740432","Chicago, Illinois","77,583","20,738.60"
"11",60659,"41.991923, -87.704608","Chicago, Illinois","39,155","19,859.02"
"12",60639,"41.920639, -87.755793","Chicago, Illinois","92,951","19,854.06"
"13",60618,"41.946755, -87.702861","Chicago, Illinois","98,147","19,640.92"
"14",60623,"41.847079, -87.719446","Chicago, Illinois","108,144","19,007.22"
"15",60615,"41.801502, -87.603332","Chicago, Illinois","45,096","18,936.31"
"16",60645,"42.008406, -87.695793","Chicago, Illinois","44,197","18,576.05"
"17",60641,"41.946466, -87.746971","Chicago, Illinois","73,824","18,163.14"
"18",60649,"41.763484, -87.570411","Chicago, Illinois","54,823","17,870.96"
"19",60611,"41.893024, -87.618998","Chicago, Illinois","26,522","17,783.87"
"20",60622,"41.901894, -87.672630","Chicago, Illinois","76,015","17,489.00"
"21",60601,"41.885805, -87.622911","Chicago, Illinois","5,591","17,101.15"
"22",60644,"41.880614, -87.756903","Chicago, Illinois","59,059","16,705.95"
"23",60653,"41.819722, -87.611809","Chicago, Illinois","34,502","15,629.38"
"24",60661,"41.882458, -87.643946","Chicago, Illinois","4,382","15,455.28"
"25",60629,"41.774690, -87.714185","Chicago, Illinois","113,984","15,212.28"
"26",60608,"41.848647, -87.672320","Chicago, Illinois","92,472","14,180.66"
"27",60616,"41.844977, -87.629846","Chicago, Illinois","47,073","13,948.12"
"28",60636,"41.775708, -87.669011","Chicago, Illinois","51,451","13,581.48"
"29",60624,"41.880048, -87.722352","Chicago, Illinois","45,647","13,574.16"
"30",60637,"41.780673, -87.603500","Chicago, Illinois","57,090","13,045.69"
"31",60621,"41.776404, -87.640058","Chicago, Illinois","47,514","12,891.83"
"32",60632,"41.810213, -87.711761","Chicago, Illinois","87,577","12,507.78"
"33",60619,"41.743383, -87.605811","Chicago, Illinois","74,963","11,991.80"
"34",60620,"41.740481, -87.653749","Chicago, Illinois","85,771","11,439.03"
"35",60630,"41.972071, -87.756569","Chicago, Illinois","54,781","11,213.53"
"36",60634,"41.946189, -87.806117","Chicago, Illinois","74,164","10,611.96"
"37",60609,"41.812680, -87.656935","Chicago, Illinois","79,469","10,286.83"
"38",60612,"41.880500, -87.687967","Chicago, Illinois","37,990","10,195.72"
"39",60652,"41.746234, -87.711953","Chicago, Illinois","39,126","8,425.81"
"40",60628,"41.692200, -87.617859","Chicago, Illinois","87,827","8,286.36"
"41",60643,"41.696894, -87.661375","Chicago, Illinois","52,568","7,845.03"
"42",60631,"41.994948, -87.813225","Chicago, Illinois","28,832","7,754.38"
"43",60656,"41.973544, -87.830234","Chicago, Illinois","27,129","7,590.96"
"44",60617,"41.718172, -87.555846","Chicago, Illinois","96,288","7,168.75"
"45",60655,"41.694722, -87.703687","Chicago, Illinois","29,138","6,541.10"
"46",60607,"41.874503, -87.651322","Chicago, Illinois","15,552","6,428.11"
"47",60606,"41.881988, -87.637329","Chicago, Illinois","1,682","6,140.44"
"48",60605,"41.857651, -87.615592","Chicago, Illinois","12,423","6,027.29"
"49",60646,"41.992931, -87.760278","Chicago, Illinois","27,016","5,741.46"
"50",60638,"41.783650, -87.770407","Chicago, Illinois","55,788","5,010.81"
"51",60603,"41.880614, -87.629311","Chicago, Illinois","378","4,553.49"
"52",60633,"41.661941, -87.557757","Chicago, Illinois","13,262","1,102.54"
"53",60602,"41.883067, -87.629187","Chicago, Illinois","70","810.58"
"54",60604,"41.878266, -87.626150","Chicago, Illinois","78","546.75"
"55",60654,"41.888109, -87.636652","Chicago, Illinois","7","195.04"
